status,updated,from_status,reporter,when,days_in_from_status,who,to_status,assignee,key,description_length,summary_length,days_in_current_status,days_since_open,project,created,transition,resolutiondate,comment_count,priority,vote_count,issue_type,watch_count,resolution
Closed,2009-07-14T22:50:13.806+0000,Patch Available,thiru_mg,2009-06-08T21:54:31.105+0000,2.735407315,cutting,Resolved,thiru_mg,AVRO-48,99,87,3207.348043,2.73712331,AVRO,2009-06-06T04:13:03.651+0000,Patch Available to Resolved,2009-06-08T21:54:31.105+0000,1,Minor,0,Task,0,Fixed
Closed,2009-07-14T22:50:13.806+0000,Resolved,thiru_mg,2009-07-14T22:50:13.816+0000,36.03868878,cutting,Closed,thiru_mg,AVRO-48,99,87,3207.348043,38.77581209,AVRO,2009-06-06T04:13:03.651+0000,Resolved to Closed,2009-06-08T21:54:31.105+0000,1,Minor,0,Task,0,Fixed
Closed,2010-03-01T17:10:27.593+0000,,anomalizer,2009-06-05T20:21:33.718+0000,,anomalizer,Open,sbanacho,AVRO-47,382,40,2977.583994,,AVRO,2009-06-05T20:21:33.718+0000,Non-existent to Open,2010-01-22T22:42:52.200+0000,8,Major,0,Bug,2,Fixed
Closed,2010-03-01T17:10:27.593+0000,Open,anomalizer,2010-01-15T00:48:15.628+0000,223.1852073,sbanacho,Patch Available,sbanacho,AVRO-47,382,40,2977.583994,223.1852073,AVRO,2009-06-05T20:21:33.718+0000,Open to Patch Available,2010-01-22T22:42:52.200+0000,8,Major,0,Bug,2,Fixed
Closed,2010-03-01T17:10:27.593+0000,Patch Available,anomalizer,2010-01-22T22:42:52.200+0000,7.912923287,sbanacho,Resolved,sbanacho,AVRO-47,382,40,2977.583994,231.0981306,AVRO,2009-06-05T20:21:33.718+0000,Patch Available to Resolved,2010-01-22T22:42:52.200+0000,8,Major,0,Bug,2,Fixed
Closed,2010-03-01T17:10:27.593+0000,Resolved,anomalizer,2010-03-01T17:10:27.623+0000,37.76915999,cutting,Closed,sbanacho,AVRO-47,382,40,2977.583994,268.8672906,AVRO,2009-06-05T20:21:33.718+0000,Resolved to Closed,2010-01-22T22:42:52.200+0000,8,Major,0,Bug,2,Fixed
Closed,2009-07-14T22:50:13.766+0000,,sharadag,2009-06-03T05:56:40.878+0000,,sharadag,Open,sharadag,AVRO-46,70,44,3207.348043,,AVRO,2009-06-03T05:56:40.878+0000,Non-existent to Open,2009-06-25T18:12:19.825+0000,2,Major,0,Bug,0,Fixed
Closed,2009-07-14T22:50:13.766+0000,Open,sharadag,2009-06-25T18:12:19.825+0000,22.51086744,cutting,Resolved,sharadag,AVRO-46,70,44,3207.348043,22.51086744,AVRO,2009-06-03T05:56:40.878+0000,Open to Resolved,2009-06-25T18:12:19.825+0000,2,Major,0,Bug,0,Fixed
Closed,2009-07-14T22:50:13.766+0000,Resolved,sharadag,2009-07-14T22:50:13.766+0000,19.19298543,cutting,Closed,sharadag,AVRO-46,70,44,3207.348043,41.70385287,AVRO,2009-06-03T05:56:40.878+0000,Resolved to Closed,2009-06-25T18:12:19.825+0000,2,Major,0,Bug,0,Fixed
Closed,2009-07-14T22:50:13.701+0000,,sbanacho,2009-06-03T00:27:44.724+0000,,sbanacho,Open,sbanacho,AVRO-45,324,42,3207.348044,,AVRO,2009-06-03T00:27:44.724+0000,Non-existent to Open,2009-06-03T17:46:58.283+0000,2,Major,0,Bug,0,Fixed
Closed,2009-07-14T22:50:13.701+0000,Open,sbanacho,2009-06-03T17:46:58.283+0000,0.721684711,cutting,Resolved,sbanacho,AVRO-45,324,42,3207.348044,0.721684711,AVRO,2009-06-03T00:27:44.724+0000,Open to Resolved,2009-06-03T17:46:58.283+0000,2,Major,0,Bug,0,Fixed
Closed,2009-07-14T22:50:13.701+0000,Resolved,sbanacho,2009-07-14T22:50:13.701+0000,41.21059512,cutting,Closed,sbanacho,AVRO-45,324,42,3207.348044,41.93227983,AVRO,2009-06-03T00:27:44.724+0000,Resolved to Closed,2009-06-03T17:46:58.283+0000,2,Major,0,Bug,0,Fixed
Closed,2009-07-14T22:50:10.161+0000,,cutting,2009-06-02T19:08:33.102+0000,,cutting,Open,massie,AVRO-44,184,41,3207.348085,,AVRO,2009-06-02T19:08:33.102+0000,Non-existent to Open,2009-06-03T00:11:08.675+0000,3,Minor,0,Bug,0,Fixed
Closed,2009-07-14T22:50:10.161+0000,Open,cutting,2009-06-02T23:42:21.317+0000,0.190141377,massie,Patch Available,massie,AVRO-44,184,41,3207.348085,0.190141377,AVRO,2009-06-02T19:08:33.102+0000,Open to Patch Available,2009-06-03T00:11:08.675+0000,3,Minor,0,Bug,0,Fixed
Closed,2009-07-14T22:50:10.161+0000,Patch Available,cutting,2009-06-03T00:11:08.675+0000,0.019992569,cutting,Resolved,massie,AVRO-44,184,41,3207.348085,0.210133947,AVRO,2009-06-02T19:08:33.102+0000,Patch Available to Resolved,2009-06-03T00:11:08.675+0000,3,Minor,0,Bug,0,Fixed
Closed,2009-07-14T22:50:10.161+0000,Resolved,cutting,2009-07-14T22:50:10.167+0000,41.94376727,cutting,Closed,massie,AVRO-44,184,41,3207.348085,42.15390122,AVRO,2009-06-02T19:08:33.102+0000,Resolved to Closed,2009-06-03T00:11:08.675+0000,3,Minor,0,Bug,0,Fixed
Closed,2011-12-13T19:10:02.628+0000,,anomalizer,2009-06-02T04:12:31.186+0000,,anomalizer,Open,,AVRO-43,882,38,3207.337922,,AVRO,2009-06-02T04:12:31.186+0000,Non-existent to Open,2009-06-02T17:11:53.839+0000,2,Trivial,0,Bug,0,Invalid
